,season,week,game_date,game_time,home_team_id,home_team_stats_id,home_team_abbrev,visit_team_id,visit_team_stats_id,visit_team_abbrev,home_team_score,visit_team_score,game_over_under,line,surface,weather_icon,temperature,precip_probability,precip_type,wind_speed,wind_bearing,name,kickoff,month,start,score,total,spread,over_hit,under_hit,favorite_covered,underdog_covered
0,1983,1,1983-09-03 00:00:00,18,27,SF,SF,23,PHI,PHI,17,22,40.0,-4.0,Grass,Clear Day,73.32,,,6.12,282,PHI @ SF,Sep 3 6:00 PM,September,Night,22-17,39,4.0,0,1,0,1
1,1983,1,1983-09-04 00:00:00,12,19,NO,NO,1,ARI,SLC,28,17,37.0,-3.0,Dome,,,,,,,SLC @ NO,Sep 4 12:00 PM,September,Day,17-28,45,3.0,1,0,1,0
2,1983,1,1983-09-04 00:00:00,13,4,BUF,BUF,16,MIA,MIA,0,12,36.0,4.0,Turf,Partly Cloudy Day,78.95,,,10.67,194,MIA @ BUF,Sep 4 1:00 PM,September,Day,12-0,12,4.0,0,1,0,1
3,1983,1,1983-09-04 00:00:00,13,6,CHI,CHI,2,ATL,ATL,17,20,38.0,-1.5,Grass,Clear Day,86.66,,,11.04,196,ATL @ CHI,Sep 4 1:00 PM,September,Day,20-17,37,1.5,0,1,0,1
4,1983,1,1983-09-04 00:00:00,13,7,CIN,CIN,22,OAK,LAD,10,20,42.0,-2.0,Turf,Clear Day,82.18,,,7.9,194,LAD @ CIN,Sep 4 1:00 PM,September,Day,20-10,30,2.0,0,1,0,1
5,1983,1,1983-09-04 00:00:00,13,8,CLE,CLE,17,MIN,MIN,21,27,42.0,-2.0,Grass,Clear Day,84.36,,,8.78,206,MIN @ CLE,Sep 4 1:00 PM,September,Day,27-21,48,2.0,1,0,0,1
6,1983,1,1983-09-04 00:00:00,13,30,TEN,HOO,12,GB,GB,38,41,40.0,4.5,Dome,,,,,,,GB @ HOO,Sep 4 1:00 PM,September,Day,41-38,79,4.5,1,0,1,0
7,1983,1,1983-09-04 00:00:00,13,18,NE,NE,13,IND,BLC,23,29,37.0,-5.5,Turf,Cloudy,85.06,,,10.3,248,BLC @ NE,Sep 4 1:00 PM,September,Day,29-23,52,5.5,1,0,0,1
8,1983,1,1983-09-04 00:00:00,13,20,NYG,NYG,33,LAR,LAR,6,16,38.0,-4.0,Turf,Cloudy,83.96,,,7.9,255,LAR @ NYG,Sep 4 1:00 PM,September,Day,16-6,22,4.0,0,1,0,1
9,1983,1,1983-09-04 00:00:00,13,24,PIT,PIT,10,DEN,DEN,10,14,39.0,-7.0,Turf,Partly Cloudy Day,80.21,,,5.03,194,DEN @ PIT,Sep 4 1:00 PM,September,Day,14-10,24,7.0,0,1,0,1
10,1983,1,1983-09-04 00:00:00,13,29,TB,TB,11,DET,DET,0,11,38.0,-3.0,Grass,Partly Cloudy Day,89.89,,,10.48,131,DET @ TB,Sep 4 1:00 PM,September,Day,11-0,11,3.0,0,1,0,1
11,1983,1,1983-09-04 00:00:00,16,15,KC,KC,26,SEA,SEA,17,13,36.0,-1.0,Turf,Partly Cloudy Day,89.87,,,15.77,185,SEA @ KC,Sep 4 4:00 PM,September,Late,13-17,30,1.0,0,1,1,0
12,1983,1,1983-09-04 00:00:00,16,34,LAC,SD,21,NYJ,NYJ,29,41,46.0,-3.0,Grass,Clear Day,79.08,,,8.11,265,NYJ @ SD,Sep 4 4:00 PM,September,Late,41-29,70,3.0,1,0,0,1
13,1983,1,1983-09-05 00:00:00,21,31,WAS,WAS,9,DAL,DAL,30,31,40.0,3.0,Grass,Partly Cloudy Day,89.88,,,6.19,292,DAL @ WAS,Sep 5 9:00 PM,September,Night,31-30,61,3.0,1,0,1,0
14,1983,2,1983-09-08 00:00:00,20,17,MIN,MIN,27,SF,SF,17,48,44.0,-3.5,Dome,,,,,,,SF @ MIN,Sep 8 8:30 PM,September,Night,48-17,65,3.5,1,0,0,1
15,1983,2,1983-09-11 00:00:00,13,2,ATL,ATL,20,NYG,NYG,13,16,36.0,-3.0,Grass,Clear Day,87.2,,,1.11,251,NYG @ ATL,Sep 11 1:00 PM,September,Day,16-13,29,3.0,0,1,0,1
16,1983,2,1983-09-11 00:00:00,13,6,CHI,CHI,29,TB,TB,17,10,36.0,-3.0,Grass,Partly Cloudy Day,69.9,,,5.65,,TB @ CHI,Sep 11 1:00 PM,September,Day,10-17,27,3.0,0,1,1,0
17,1983,2,1983-09-11 00:00:00,13,7,CIN,CIN,4,BUF,BUF,6,10,37.0,-6.5,Turf,Clear Day,85.65,,,5.02,221,BUF @ CIN,Sep 11 1:00 PM,September,Day,10-6,16,6.5,0,1,0,1
18,1983,2,1983-09-11 00:00:00,13,11,DET,DET,8,CLE,CLE,26,31,40.0,-3.5,Dome,,,,,,,CLE @ DET,Sep 11 1:00 PM,September,Day,31-26,57,3.5,1,0,0,1
19,1983,2,1983-09-11 00:00:00,13,12,GB,GB,24,PIT,PIT,21,25,45.0,-1.0,Grass,Clear Day,64.38,,,11.46,253,PIT @ GB,Sep 11 1:00 PM,September,Day,25-21,46,1.0,1,0,0,1
20,1983,2,1983-09-11 00:00:00,13,23,PHI,PHI,31,WAS,WAS,13,23,40.0,0.0,Turf,Clear Day,92.78,,,8.24,273,WAS @ PHI,Sep 11 1:00 PM,September,Day,23-13,36,0.0,0,1,0,1
21,1983,2,1983-09-11 00:00:00,13,1,ARI,SLC,9,DAL,DAL,17,34,43.0,6.0,Grass,Cloudy,78.4,,,4.65,18,DAL @ SLC,Sep 11 1:00 PM,September,Day,34-17,51,6.0,1,0,0,1
22,1983,2,1983-09-11 00:00:00,16,13,IND,BLC,10,DEN,DEN,10,17,34.0,2.5,Grass,Clear Day,94.01,,,9.15,245,DEN @ BLC,Sep 11 4:00 PM,September,Late,17-10,27,2.5,0,1,0,1
23,1983,2,1983-09-11 00:00:00,16,22,OAK,LAD,30,TEN,HOO,20,6,44.0,-11.0,Grass,Clear Day,89.94,,,5.37,256,HOO @ LAD,Sep 11 4:00 PM,September,Late,6-20,26,11.0,0,1,1,0
24,1983,2,1983-09-11 00:00:00,16,33,LAR,LAR,19,NO,NO,30,27,39.0,-3.0,Grass,Clear Day,94.1,,,3.97,252,NO @ LAR,Sep 11 4:00 PM,September,Late,27-30,57,3.0,1,0,0,0
25,1983,2,1983-09-11 00:00:00,16,16,MIA,MIA,18,NE,NE,34,24,36.0,-9.5,Grass,Partly Cloudy Day,89.09,,,6.33,90,NE @ MIA,Sep 11 4:00 PM,September,Late,24-34,58,9.5,1,0,1,0
26,1983,2,1983-09-11 00:00:00,16,21,NYJ,NYJ,26,SEA,SEA,10,17,40.0,-8.0,Turf,Clear Day,92.22,,,10.73,270,SEA @ NYJ,Sep 11 4:00 PM,September,Late,17-10,27,8.0,0,1,0,1
27,1983,2,1983-09-12 00:00:00,21,15,KC,KC,34,LAC,SD,14,17,46.0,5.0,Turf,Partly Cloudy Day,68.65,,,12.81,358,SD @ KC,Sep 12 9:00 PM,September,Night,17-14,31,5.0,0,1,1,0
28,1983,3,1983-09-15 00:00:00,20,8,CLE,CLE,7,CIN,CIN,17,7,42.0,-3.5,Grass,Partly Cloudy Day,67.42,,,8.86,92,CIN @ CLE,Sep 15 8:30 PM,September,Night,7-17,24,3.5,0,1,1,0
29,1983,3,1983-09-18 00:00:00,13,4,BUF,BUF,13,IND,BLC,28,23,33.0,-6.0,Turf,Cloudy,62.12,,,4.84,214,BLC @ BUF,Sep 18 1:00 PM,September,Day,23-28,51,6.0,1,0,0,1
30,1983,3,1983-09-18 00:00:00,13,11,DET,DET,2,ATL,ATL,14,30,40.0,-3.0,Dome,,,,,,,ATL @ DET,Sep 18 1:00 PM,September,Day,30-14,44,3.0,1,0,0,1
31,1983,3,1983-09-18 00:00:00,13,12,GB,GB,33,LAR,LAR,27,24,49.0,-3.0,Grass,Wind,80.96,,,20.25,246,LAR @ GB,Sep 18 1:00 PM,September,Day,24-27,51,3.0,1,0,0,0
32,1983,3,1983-09-18 00:00:00,13,30,TEN,HOO,24,PIT,PIT,28,40,40.0,5.5,Dome,,,,,,,PIT @ HOO,Sep 18 1:00 PM,September,Day,40-28,68,5.5,1,0,0,1
33,1983,3,1983-09-18 00:00:00,13,18,NE,NE,21,NYJ,NYJ,23,13,44.0,6.5,Turf,Partly Cloudy Day,70.17,,,2.58,291,NYJ @ NE,Sep 18 1:00 PM,September,Day,13-23,36,6.5,0,1,1,0
