,season,week,Date,Home Team,Away Team,home_team_score,visit_team_score,game_over_under,line,surface,weather_icon,temperature,wind_speed,wind_bearing,name,month,start,over_hit,under_hit,favorite_covered,underdog_covered,Total Score Over Close,Total Score Under Close,Total Score Over Odds Range,Total Score Under Odds Range
0,1983,1,1983-09-03,SF,PHI,17,22,40.0,-4.0,Grass,Clear Day,73.32,6.12,282.0,PHI @ SF,September,Night,0,1,0,1,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
1,1983,1,1983-09-04,NO,ARI,28,17,37.0,-3.0,Dome,Dome,70.0,0.0,0.0,SLC @ NO,September,Day,1,0,1,0,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
2,1983,1,1983-09-04,BUF,MIA,0,12,36.0,4.0,Turf,Partly Cloudy Day,78.95,10.67,194.0,MIA @ BUF,September,Day,0,1,0,1,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
3,1983,1,1983-09-04,CHI,ATL,17,20,38.0,-1.5,Grass,Clear Day,86.66,11.04,196.0,ATL @ CHI,September,Day,0,1,0,1,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
4,1983,1,1983-09-04,CIN,OAK,10,20,42.0,-2.0,Turf,Clear Day,82.18,7.9,194.0,LAD @ CIN,September,Day,0,1,0,1,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
5,1983,1,1983-09-04,CLE,MIN,21,27,42.0,-2.0,Grass,Clear Day,84.36,8.78,206.0,MIN @ CLE,September,Day,1,0,0,1,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
6,1983,1,1983-09-04,TEN,GB,38,41,40.0,4.5,Dome,Dome,70.0,0.0,0.0,GB @ HOO,September,Day,1,0,1,0,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
7,1983,1,1983-09-04,NE,IND,23,29,37.0,-5.5,Turf,Cloudy,85.06,10.3,248.0,BLC @ NE,September,Day,1,0,0,1,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
8,1983,1,1983-09-04,NYG,LAR,6,16,38.0,-4.0,Turf,Cloudy,83.96,7.9,255.0,LAR @ NYG,September,Day,0,1,0,1,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
9,1983,1,1983-09-04,PIT,DEN,10,14,39.0,-7.0,Turf,Partly Cloudy Day,80.21,5.03,194.0,DEN @ PIT,September,Day,0,1,0,1,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
10,1983,1,1983-09-04,TB,DET,0,11,38.0,-3.0,Grass,Partly Cloudy Day,89.89,10.48,131.0,DET @ TB,September,Day,0,1,0,1,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
11,1983,1,1983-09-04,KC,SEA,17,13,36.0,-1.0,Turf,Partly Cloudy Day,89.87,15.77,185.0,SEA @ KC,September,Late,0,1,1,0,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
12,1983,1,1983-09-04,LAC,NYJ,29,41,46.0,-3.0,Grass,Clear Day,79.08,8.11,265.0,NYJ @ SD,September,Late,1,0,0,1,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
13,1983,1,1983-09-05,WAS,DAL,30,31,40.0,3.0,Grass,Partly Cloudy Day,89.88,6.19,292.0,DAL @ WAS,September,Night,1,0,1,0,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
14,1983,2,1983-09-08,MIN,SF,17,48,44.0,-3.5,Dome,Dome,70.0,0.0,0.0,SF @ MIN,September,Night,1,0,0,1,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
15,1983,2,1983-09-11,ATL,NYG,13,16,36.0,-3.0,Grass,Clear Day,87.2,1.11,251.0,NYG @ ATL,September,Day,0,1,0,1,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
16,1983,2,1983-09-11,CHI,TB,17,10,36.0,-3.0,Grass,Partly Cloudy Day,69.9,5.65,148.44674457429048,TB @ CHI,September,Day,0,1,1,0,1.936782820353057,1.93927965800551,0.07051635781129865,0.03186882984629391
